No,Student ID,Last Name,First Name,Gender ,Date of birth,Social ID,Other Mark,Midterm Mark,Final Mark
1,21127370,Mai,Quy,Female,24/8/2003,423777621,8,6,7
2,21127372,Van ,Thanh,Female,19/10/2003,395728066,7,9,7
3,21127374,Nguyen ,Duc,Male,13/8/2003,419216300,6,9,6
4,21127376,Tran ,Nhat,Male,21/11/2003,408452672,8,5,4
5,20127370,Mai Quy,Trung,Female,20/8/2002,425777621,8,8,10
6,21127381,Pham ,Minh,Male,8/9/2003,420602821,6,7,9
7,21127382,Bui Van ,The,Female,13/11/2003,404861882,7,8,9
8,21127383,Le ,Ngoc,Female,26/9/2003,467574710,3,4,6
9,21127384,Vang ,Khanh,Male,5/1/2003,468383882,7,8,8
10,21127385,Huynh  Gia,Hoang,Male,5/3/2003,450726612,9,7,8
11,21127386,Nguyen  Ngoc,Le,Female,7/3/2003,435284464,6,5,4
12,21127390,Le Anh,Anh,Male,5/4/2003,437339922,4,4,7
13,21127391,Ho ,Yen,Male,5/5/2003,412173275,4,6,5
14,21127392,Le  Lan,Nguyen,Female,5/6/2003,379491955,8,5,6
15,21127393,Nguyen ,Thuy,Female,5/7/2003,396516097,9,6,8
16,21127395,Phan ,Minh,Male,5/8/2003,395610837,6,7,8
